username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|coord_lat|coord_lon|coord_err
PetsToLove|2017-10-30 10:31:17|18|25|Thank you to everyone who adopted a furry feline from Miami-Dade Animal Services this weekend during the @popcatsshow ! #Miami  #CatLove pic.twitter.com/AoMOaAhaZ7  – at  Miami Airport Convention Center|Thank you to everyone who adopted a furry feline from Miami-Dade Animal Services this weekend during the @popcatsshow ! #Miami  #CatLove   – at  Miami Airport Convention Center|false|925007201768534016|/PetsToLove/status/925007201768534016||||
PetsToLove|2017-10-26 18:00:51|5|3|Take home an adorable feline of your own this Sat., 10/28 during @popcatsshow !  http://ow.ly/22W630g4S0o    #Miami  #CatLove pic.twitter.com/J6Qs1Tycd5|Take home an adorable feline of your own this Sat., 10/28 during @popcatsshow !      #Miami  #CatLove |false|923670787462238208|/PetsToLove/status/923670787462238208||||
PetsToLove|2017-09-28 14:00:57|10|11|This laid-back #SeniorDog  goes by the name of Jake #A1901599 . He’ll charm his way to your heart with his sweet personality. Adopt him today! pic.twitter.com/1t8zqVLHO0|This laid-back #SeniorDog  goes by the name of Jake #A1901599 . He’ll charm his way to your heart with his sweet personality. Adopt him today! |false|913463553734189057|/PetsToLove/status/913463553734189057||||
PetsToLove|2017-10-31 13:56:14|9|14|Wally wishes you all a very #HappyHalloween !   Adopt a furry monster of your own at the Pet Adoption and Protection Center! #Miami pic.twitter.com/49AnePqXqb  – at  Miami-Dade Animal Services|Wally wishes you all a very #HappyHalloween !   Adopt a furry monster of your own at the Pet Adoption and Protection Center! #Miami   – at  Miami-Dade Animal Services|false|925421167753691137|/PetsToLove/status/925421167753691137||||
PetsToLove|2017-10-17 12:01:46|3|5|Protect your furry BFF from many common, serious & even fatal diseases with our Pet Care Packages. #Miami   http://ow.ly/dXfv30fV30I   pic.twitter.com/4SqzuRxsk5|Protect your furry BFF from many common, serious & even fatal diseases with our Pet Care Packages. #Miami      |false|920318930148839425|/PetsToLove/status/920318930148839425||||
PetsToLove|2017-10-07 12:01:00|14|13|'Lovable, cuddly & sweet, Lucy #A1823317  can''t wait to go home with you! Adopt her at the Pet Adoption and Protection Center for $35. #Miami pic.twitter.com/fxv4d5Tt7v'|'Lovable, cuddly & sweet, Lucy #A1823317  can''t wait to go home with you! Adopt her at the Pet Adoption and Protection Center for $35. #Miami '|false|916694860412878848|/PetsToLove/status/916694860412878848||||
PetsToLove|2017-10-23 16:07:09|15|16|Over 200 pets found their perfect human match during the 2017 #ASDMegaMatch  adoption event at Tropical Park!   #Miami  #FurryFriend pic.twitter.com/zOEtgVdftc  – at  Tropical Park|Over 200 pets found their perfect human match during the 2017 #ASDMegaMatch  adoption event at Tropical Park!   #Miami  #FurryFriend   – at  Tropical Park|false|922555009463738371|/PetsToLove/status/922555009463738371||||
PetsToLove|2017-10-24 15:00:47|9|8|Roy #A1909825  is a 1 yr. old #LabradorRetriever  mix ready to make some fun memories with you. Make him your furry BFF - adopt him today! pic.twitter.com/vcG7QxrChS|Roy #A1909825  is a 1 yr. old #LabradorRetriever  mix ready to make some fun memories with you. Make him your furry BFF - adopt him today! |false|922900697082941440|/PetsToLove/status/922900697082941440||||
PetsToLove|2017-10-02 09:55:06|0|0|Boo was adopted by her forever family on February 19, 2017.|Boo was adopted by her forever family on February 19, 2017.|false|914851234242326528|/PetsToLove/status/914851234242326528||||
PetsToLove|2017-10-25 18:01:10|7|5|# AdoptDontShop  a furry BFF on Fri., 10/27 12-4PM during the Fall Into Wellness Fair at the Stephen P. Clark Center!  http://ow.ly/8PPZ30g62ER   pic.twitter.com/6KDQcXTZAL|# AdoptDontShop  a furry BFF on Fri., 10/27 12-4PM during the Fall Into Wellness Fair at the Stephen P. Clark Center!     |false|923308478759931905|/PetsToLove/status/923308478759931905||||
PetsToLove|2017-10-11 12:02:55|64|32|Help make a difference & save the life of a shelter pet by becoming an #ASDFoster ! Orientation is every Saturday at 11:30AM. pic.twitter.com/o5S71pygDm|Help make a difference & save the life of a shelter pet by becoming an #ASDFoster ! Orientation is every Saturday at 11:30AM. |false|918144892429373441|/PetsToLove/status/918144892429373441||||
PetsToLove|2017-10-23 09:29:49|0|0|To report a stay dog, please call 311 or DM @miamidade311 .|To report a stay dog, please call 311 or DM @miamidade311 .|false|922455017457627137|/PetsToLove/status/922455017457627137||||
PetsToLove|2017-10-31 15:42:02|0|1|In 2015 we achieved a 90% save rate. We continue to maintain that rate with our life-saving programs.|In 2015 we achieved a 90% save rate. We continue to maintain that rate with our life-saving programs.|false|925447794172755970|/PetsToLove/status/925447794172755970||||
PetsToLove|2017-10-12 13:08:34|16|14|Handsome & very sweet, Lolo #A1892777  is looking for a second chance at  . Take him home today! #Miami  #FurryFriend pic.twitter.com/lM9BHY5faa  – at  Miami-Dade Animal Services|Handsome & very sweet, Lolo #A1892777  is looking for a second chance at  . Take him home today! #Miami  #FurryFriend   – at  Miami-Dade Animal Services|false|918523803361251330|/PetsToLove/status/918523803361251330||||
PetsToLove|2017-10-08 12:00:18|21|14|You’ll have all-night and all-day long to adopt a pet during the 24-hr #ASDMegaMatch  starting 11:59 PM Oct. 20 to 11:59 PM Sat. Oct. 21. pic.twitter.com/YyTQEmuK3r|You’ll have all-night and all-day long to adopt a pet during the 24-hr #ASDMegaMatch  starting 11:59 PM Oct. 20 to 11:59 PM Sat. Oct. 21. |false|917057071266369536|/PetsToLove/status/917057071266369536||||
PetsToLove|2017-10-05 13:38:38|9|4|Take home a furry BFF during @ishine365 ’s warehouse sale TOMORROW 12-4PM!   #Miami  #FurryFriend  #AdoptDontShop pic.twitter.com/zN3hnY4z0z|Take home a furry BFF during @ishine365 ’s warehouse sale TOMORROW 12-4PM!   #Miami  #FurryFriend  #AdoptDontShop |false|915994654692331520|/PetsToLove/status/915994654692331520||||
PetsToLove|2017-09-20 10:32:27|3|6|Celebrate the   between dogs & humans this weekend 9/23-9/24 11AM-1PM as we host pet adoptions during @DogFilmFestival at @gablescinema ! pic.twitter.com/4Xm1By79Aj  – at  Miami-Dade Animal Services|Celebrate the   between dogs & humans this weekend 9/23-9/24 11AM-1PM as we host pet adoptions during @DogFilmFestival at @gablescinema !   – at  Miami-Dade Animal Services|false|910511982805217281|/PetsToLove/status/910511982805217281||||
PetsToLove|2017-11-01 18:00:51|19|11|# ThinkAdoptionFirst  and take home a furry BFF this weekend at the Petco Adoption Center in South Miami!  http://ow.ly/tC2s30fHmFC   pic.twitter.com/bDzsicamGE|# ThinkAdoptionFirst  and take home a furry BFF this weekend at the Petco Adoption Center in South Miami!     |false|925845115700117508|/PetsToLove/status/925845115700117508||||
PetsToLove|2017-10-24 13:14:04|9|13|Playing, walking & having fun with your pets is vital to helping develop a healthy, loving relationship with your furry friends. #Miami pic.twitter.com/e3TtGTjrAJ  – at  Miami-Dade Animal Services|Playing, walking & having fun with your pets is vital to helping develop a healthy, loving relationship with your furry friends. #Miami   – at  Miami-Dade Animal Services|false|922873840446910466|/PetsToLove/status/922873840446910466||||
