username|date|retweets|favorites|text|cleantext|is_retweet|ID|permalink|address|latitude|longitude|latlongerr
conserveturtles|2017-10-09 12:01:16|23|25|'The President''s administration quietly withdrew 42 protections for endangered species months ago  https://www. metro.us/president-trum p/trump-administration-endangered-species-protections#.WdudGzpWbu8.twitter   …  via @Metro_US'|'The President''s administration quietly withdrew 42 protections for endangered species months ago   metro.us/president-trum p/trump-administration-endangered-species-protections#.WdudGzpWbu8.twitter   …  via @Metro_US'|false|917419700199591936|/conserveturtles/status/917419700199591936||||
conserveturtles|2017-09-22 11:23:39|11|22|'Efforts to save sea turtles are a ''global conservation success story'': scientists  http://phy.so/425194371    via @physorg_com'|'Efforts to save sea turtles are a ''global conservation success story'': scientists      via @physorg_com'|false|911249642754625537|/conserveturtles/status/911249642754625537||||
conserveturtles|2017-09-25 16:47:43|24|42|How this hospital keeps sick turtles safe during hurricane season  http://www. huffingtonpost.com/entry/how-this -hospital-keeps-sick-turtles-safe-during-hurricane-season_us_59c186bce4b0f22c4a8d61f1?ncid=engmodushpmg00000004   …  via @HuffPostImpact  @TurtleHospital|How this hospital keeps sick turtles safe during hurricane season   huffingtonpost.com/entry/how-this -hospital-keeps-sick-turtles-safe-during-hurricane-season_us_59c186bce4b0f22c4a8d61f1?ncid=engmodushpmg00000004   …  via @HuffPostImpact  @TurtleHospital|false|912418357789544448|/conserveturtles/status/912418357789544448||||
conserveturtles|2017-10-16 14:50:09|13|44|Lincoln the leatherback must be a fan of the Jersey Shore! She is off NJ coast after traveling 3600 km from Panama:  http://bit.ly/2xJIepC   pic.twitter.com/pu1Y4oFBCK|Lincoln the leatherback must be a fan of the Jersey Shore! She is off NJ coast after traveling 3600 km from Panama:     |false|919998919462985728|/conserveturtles/status/919998919462985728||||
conserveturtles|2017-09-19 12:32:41|3|7|El viaje de Soca  http://www. prensa.com/_12133dead    via @prensacom  #TourdeTurtles|El viaje de Soca   prensa.com/_12133dead    via @prensacom  #TourdeTurtles|false|910179852577378304|/conserveturtles/status/910179852577378304||||
conserveturtles|2017-10-10 13:09:06|8|16|Students develop device to relocate sea turtle nests during Hurricane Irma  http://www. tcpalm.com/story/news/loc al/indian-river-lagoon/2017/10/09/students-develop-device-relocate-sea-turtle-nests-during-hurricane-irma/747681001/   …  via @tcpalm|Students develop device to relocate sea turtle nests during Hurricane Irma   tcpalm.com/story/news/loc al/indian-river-lagoon/2017/10/09/students-develop-device-relocate-sea-turtle-nests-during-hurricane-irma/747681001/   …  via @tcpalm|false|917799158894944257|/conserveturtles/status/917799158894944257||||
conserveturtles|2017-09-20 11:45:32|11|19|Please keep our Puerto Rican human & turtle friends in your thoughts. Leatherbacks, greens & hawksbills nest on PR beaches #HurricaneMaria pic.twitter.com/Op6U1upPRu|Please keep our Puerto Rican human & turtle friends in your thoughts. Leatherbacks, greens & hawksbills nest on PR beaches #HurricaneMaria |false|910530371673923585|/conserveturtles/status/910530371673923585||||
conserveturtles|2017-09-19 17:04:14|33|103|'When you realize it''s only Tuesday, so you need a cookie or 12   #TurtleTuesday pic.twitter.com/yLyHDRQ64C'|'When you realize it''s only Tuesday, so you need a cookie or 12   #TurtleTuesday '|false|910248189323825153|/conserveturtles/status/910248189323825153||||
conserveturtles|2017-09-11 20:49:36|18|51|Frantic rescue in Fort Pierce to save baby sea turtles http://www. wptv.com/news/region-st -lucie-county/fort-pierce/frantic-rescue-in-fort-pierce-to-save-baby-sea-turtles?utm_content=buffered57b&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer   …|Frantic rescue in Fort Pierce to save baby sea turtles  wptv.com/news/region-st -lucie-county/fort-pierce/frantic-rescue-in-fort-pierce-to-save-baby-sea-turtles?utm_content=buffered57b&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer   …|false|907405801853091841|/conserveturtles/status/907405801853091841||||
conserveturtles|2017-10-04 12:13:12|11|26|Interesting! Growing skin in a lab has benefits for humans and turtles alike  http://pops.ci/uwBC2W    via @PopSci|Interesting! Growing skin in a lab has benefits for humans and turtles alike      via @PopSci|false|915610765750620165|/conserveturtles/status/915610765750620165||||
conserveturtles|2017-10-18 12:35:22|8|21|CALLING ALL ARTISTS! Help design the shirt artwork for the 2018 Florida Marine Turtle Permit Holders Meeting. Info:  https://t.e2ma.net/message/czscw/ gawxwh   … pic.twitter.com/eSaEs67kof|CALLING ALL ARTISTS! Help design the shirt artwork for the 2018 Florida Marine Turtle Permit Holders Meeting. Info:   gawxwh   … |false|920689774649737217|/conserveturtles/status/920689774649737217||||
conserveturtles|2017-09-29 10:32:00|22|31|STC is excited to join @LonelyWhale  & the #StrawlessOcean  initiative as an official collaborator! Learn more & join:  http://strawlessocean.org   pic.twitter.com/Tux2LD5gtS|STC is excited to join @LonelyWhale  & the #StrawlessOcean  initiative as an official collaborator! Learn more & join:     |false|913773360965877760|/conserveturtles/status/913773360965877760||||
conserveturtles|2017-09-12 16:25:03|7|7|Some comforting information to keep in mind as we recover and clean up after Irma... Sea turtles…  https://www. instagram.com/p/BY9Ew2BHLr2/  |Some comforting information to keep in mind as we recover and clean up after Irma... Sea turtles…   instagram.com/p/BY9Ew2BHLr2/  |false|907701612399001600|/conserveturtles/status/907701612399001600||||
conserveturtles|2017-09-15 16:23:53|0|2|Edit - @SeaTurtleOP  is NOT a drop off location but you can still call their hotline 954-404-0025 for help and they will pick-up hatchlings!|Edit - @SeaTurtleOP  is NOT a drop off location but you can still call their hotline 954-404-0025 for help and they will pick-up hatchlings!|false|908788484734717952|/conserveturtles/status/908788484734717952||||
conserveturtles|2017-10-19 12:50:26|3|11|'13 days left in the #TourdeTurtles  & green turtle Reefie is making a push for the podium! She''s now in 4th place!  http://bit.ly/2wl5tpY   pic.twitter.com/64sj5cJbV4'|'13 days left in the #TourdeTurtles  & green turtle Reefie is making a push for the podium! She''s now in 4th place!     '|false|921055952090030080|/conserveturtles/status/921055952090030080||||
conserveturtles|2017-09-08 14:02:56|5|16|Take your mind off Hurricane Irma for a bit and enter our @tartecosmetics  giveaway on FB or IG! -->  http://bit.ly/2gQm8yM    #seathechange pic.twitter.com/SBsbTMpN4y|Take your mind off Hurricane Irma for a bit and enter our @tartecosmetics  giveaway on FB or IG! -->      #seathechange |false|906216297981034496|/conserveturtles/status/906216297981034496||||
